username,text,date,
ExpressoPB,"Radialista sofre tentativa de assalto em João Pessoa, na PB https://t.co/RcRUlEWdiO https://t.co/sJQQ32UmDd",2019-05-16 14:32:49 UTC,
andré vitor,Voltei para as estatísticas de assalto no RJ depois de 13 anos,2019-05-16 14:30:27 UTC,
g.a.b.r.i.e.l.,@manuelcrvg98 e o assalto da criança de 8 anos não fez nada 🤦🏻‍♂️,2019-05-16 14:29:47 UTC,
amaury secundino,"ASSALTANTE MORRE DURANTE ASSALTO, ELE FOI MORTO PELA VITIMA UM IDOSO DE 63 ANOS. https://t.co/5IItM1Ac7o",2019-05-16 14:29:32 UTC,
Guilherme,Idoso reage a assalto e mata bandido em Cajazeiras/PB - Blog do Márcio Rangel https://t.co/6f1R3E9ACz,2019-05-16 14:27:29 UTC,
Vilmar,"Esse cara ai!!!Ele faz assalto em banco,e passa drogas na comunidade e faz planos para sequestros. https://t.co/Rkmdq4fWkd",2019-05-16 14:27:16 UTC,
Portal Nayn Neto,Idoso reage a assalto e mata suspeito com tiro na cabeça https://t.co/fVqbeXyYvv https://t.co/bpgVd6AtJy,2019-05-16 14:26:12 UTC,
Segurança Maranhão,Rotam em ação prende suspeitos de praticar assalto em UBER https://t.co/UYthGd9UsH https://t.co/hwn2b89B4K,2019-05-16 14:25:06 UTC,
Barraportal,Idoso mata suspeito de tentativa de assalto no Sertão da PB - https://t.co/3niYDFFC3v,2019-05-16 14:17:21 UTC,
Guia Pernambuco,"Idoso reage a assalto e mata suspeito com tiro na cabeça, no Sertão da PB https://t.co/gkDFXCI5SV https://t.co/OtJ7Uaye0m",2019-05-16 14:17:13 UTC,
Candeias News,Hóspede é baleado durante assalto em flat na região do Iguatemi, vídeo https://t.co/X11gRJdsKf https://t.co/isd8D8un2q,2019-05-16 14:14:08 UTC
Diga Salvador,Hóspede é baleado em saguão de flat durante assalto - https://t.co/mHT55SCjgz https://t.co/qa7YJalgzS,2019-05-16 14:06:02 UTC,
Livramento Hoje,Gerente de Loja de Calçados em Livramento é baleado durante assalto a hotel em Salvador  - Leia mais: https://t.co/QHR3LWpftq,2019-05-16 14:03:47 UTC,
Expedito Leite,"Idoso reage a assalto e mata suspeito com tiro na cabeça, no Sertão https://t.co/fON4lcZBTm",2019-05-16 14:02:17 UTC,
JOJOJOIA - JOELMA,"Idoso reage a assalto e mata suspeito com tiro na cabeça, no Sertão da Paraíba https://t.co/kxUqUlvNnp https://t.co/pzcaMh3Lgl",2019-05-16 13:58:39 UTC,
SAJ BAHIA INFORMA,Turista é baleado após tentativa de assalto dentro de hotel em Salvador, assista https://t.co/dnN0cKkzo2,2019-05-16 13:53:36 UTC
DDDérby Azul,"Oq eu sei de histologia:
Conteúdo:👎
Assalto q a profe sofreu a uns 2 anos:👍",2019-05-16 13:45:23 UTC,
iludida,"Após o assalto, a aluna ainda foi multilada ao sofrer corte com o papel",2019-05-16 13:44:29 UTC,
Aline,"assalto aqui na porta da vila, essas merdas tem q morrer da pior forma tnc",2019-05-16 13:31:23 UTC,
PortalR3.com.br,Mulher sofre assalto sob ameaça de armas de fogo em Pinda https://t.co/DAt9DXwrUl https://t.co/H7BFVnMDuj,2019-05-16 13:23:23 UTC,
Grupo Metrópole,Hóspede é baleado durante assalto em flat na região do Iguatemi, vídeo https://t.co/0yp13aOdeg,2019-05-16 13:21:01 UTC
Hoyer Fotos ©,Tentativa de assalto termina com um morto e dois presos na Praça Seca https://t.co/12TuIGCGnJ,2019-05-16 13:19:55 UTC,
Guia Muriaé,PM recupera moto tomada de assalto e registra roubo a mão armada em Tocantins - https://t.co/hnEU66nTH8 #tocantins,2019-05-16 13:17:17 UTC,
G1 AP,Suspeitos de assalto a residência são presos após abordagem a táxi na Zona Norte de Macapá https://t.co/F8Wacu66S6,2019-05-16 13:08:28 UTC,
Informa1,"Hóspede é baleado durante assalto em hotel no Caminho das Árvores, veja vídeo https://t.co/4u41TrRT8O",2019-05-16 12:50:01 UTC,
Jornal Floripa,Casal marca encontro para comprar joias e pratica assalto nesta manhã https://t.co/KL6H3h2IFH,2019-05-16 12:49:58 UTC,
G1 Paraíba,"Idoso reage a assalto e mata suspeito com tiro na cabeça, no Sertão da PB, diz polícia https://t.co/NJryrYts8X",2019-05-16 12:48:29 UTC,
PortaldoCampoGrande,Criminosos armados fazem família refém durante assalto em Hortolândia https://t.co/cUG2IWJdK8 https://t.co/mHLowLEM7w,2019-05-16 12:42:24 UTC,
Portal A Verdade,Homem morre durante tentativa de assalto a empresa em Itatiba -  https://t.co/El4cj8ihE6 https://t.co/nyxkd5D8lh,2019-05-16 12:41:16 UTC,
tenente josemir,Assalto na loja do Carrefour no Cuiabá https://t.co/bmNqW7ftvY,2019-05-16 12:37:01 UTC,
TNOnline,Casal marca encontro para comprar joias e pratica assalto nesta manhã  https://t.co/OYjlvjtvHM https://t.co/GBUToVVTCr,2019-05-16 12:34:27 UTC,
