username,text,date
Mateus,@zeca1908 Lembrei na hora desse lance! Assalto absurdo!,2019-05-16 14:38:21 UTC
ExpressoPB,"Radialista sofre tentativa de assalto em João Pessoa, na PB #assalto #JP #radialista https://t.co/RcRUlEWdiO https://t.co/1jeTBFFer1",2019-05-16 14:33:15 UTC
Marcos Salles,"Radialista sofre tentativa de assalto em João Pessoa, na PB https://t.co/9kTGww8j46 https://t.co/6AyyOHgiPD",2019-05-16 14:32:50 UTC
ExpressoPB,"Radialista sofre tentativa de assalto em João Pessoa, na PB https://t.co/RcRUlEWdiO https://t.co/sJQQ32UmDd",2019-05-16 14:32:49 UTC
andré vitor,Voltei para as estatísticas de assalto no RJ depois de 13 anos,2019-05-16 14:30:27 UTC
g.a.b.r.i.e.l.,@manuelcrvg98 e o assalto da criança de 8 anos não fez nada 🤦🏻‍♂️,2019-05-16 14:29:47 UTC
amaury secundino,"ASSALTANTE MORRE DURANTE ASSALTO, ELE FOI MORTO PELA VITIMA UM IDOSO DE 63 ANOS. https://t.co/5IItM1Ac7o",2019-05-16 14:29:32 UTC
Clara,dia lindo pra reagir a um assalto,2019-05-16 14:27:46 UTC
Guilherme,Idoso reage a assalto e mata bandido em Cajazeiras/PB - Blog do Márcio Rangel https://t.co/6f1R3E9ACz,2019-05-16 14:27:29 UTC
OLIVACI JÚNIOR,@Barreto269 Assalto o poder era coisa dos movimentos guerrilheiros de esquerda você é jovem que lê muitos livros faz jus à isso,2019-05-16 14:27:26 UTC
Vilmar,"Esse cara ai!!!Ele faz assalto em banco,e passa drogas na comunidade e faz planos para sequestros. https://t.co/Rkmdq4fWkd",2019-05-16 14:27:16 UTC
Portal Nayn Neto,Idoso reage a assalto e mata suspeito com tiro na cabeça https://t.co/fVqbeXyYvv https://t.co/bpgVd6AtJy,2019-05-16 14:26:12 UTC
KabuTOP da Balada,"@g1 Absurdo ficar preso só isso por um assalto com tentativa de homicidio

BEM FEITO que tomou bala do amigo, pena que não morreu",2019-05-16 14:25:48 UTC
mily,Todo dia eu sonho com assalto/tiro,2019-05-16 14:25:27 UTC
juli,@karlet kkkkkkkkk garota achou oq?assalto?,2019-05-16 14:25:12 UTC
Segurança Maranhão,Rotam em ação prende suspeitos de praticar assalto em UBER https://t.co/UYthGd9UsH https://t.co/hwn2b89B4K,2019-05-16 14:25:06 UTC
Juan Cunha,Hoje é dia de assalto então vou roubar o hype pra mim,2019-05-16 14:18:44 UTC
Tio Danii 😎🐶,@WictorSOT Evitar assalto KK a coroa anda sozinha no carro direto,2019-05-16 14:17:23 UTC
Barraportal,Idoso mata suspeito de tentativa de assalto no Sertão da PB - https://t.co/3niYDFFC3v,2019-05-16 14:17:21 UTC
Guia Pernambuco,"Idoso reage a assalto e mata suspeito com tiro na cabeça, no Sertão da PB https://t.co/gkDFXCI5SV https://t.co/OtJ7Uaye0m",2019-05-16 14:17:13 UTC
niacb,"q engraçado, quando eh assalto a policia nao ta mas o jovem pensa em pixar muro o caba já cola nele",2019-05-16 14:14:27 UTC
Candeias News,Hóspede é baleado durante assalto em flat na região do Iguatemi; vídeo https://t.co/X11gRJdsKf https://t.co/isd8D8un2q,2019-05-16 14:14:08 UTC
Cabelin,Hj e dia de assalto entao vou roubar o hype p mim,2019-05-16 14:12:57 UTC
Folha de Dourados,"""Não grita, se não eu te mato"", dizem homens armados em assalto a idoso https://t.co/P3Cw70FZOU",2019-05-16 14:07:15 UTC
Diga Salvador,Hóspede é baleado em saguão de flat durante assalto - https://t.co/mHT55SCjgz https://t.co/qa7YJalgzS,2019-05-16 14:06:02 UTC
Livramento Hoje,Gerente de Loja de Calçados em Livramento é baleado durante assalto a hotel em Salvador  - Leia mais: https://t.co/QHR3LWpftq,2019-05-16 14:03:47 UTC
Expedito Leite,"Idoso reage a assalto e mata suspeito com tiro na cabeça, no Sertão https://t.co/fON4lcZBTm",2019-05-16 14:02:17 UTC
Plox,Tá no Plox! https://t.co/Mxs8P0JBeP,2019-05-16 14:01:54 UTC
Henrique,"@ketellenr_ @taina_maulaz Terra da bosta né ketellen, só tem assalto.",2019-05-16 14:01:05 UTC
JOJOJOIA - JOELMA,"Idoso reage a assalto e mata suspeito com tiro na cabeça, no Sertão da Paraíba https://t.co/kxUqUlvNnp https://t.co/pzcaMh3Lgl",2019-05-16 13:58:39 UTC
Portal do Litoral PB,"Idoso reage a assalto e mata suspeito com tiro na cabeça, no Sertão da Paraíba https://t.co/ltINSnbkme https://t.co/mXQloN1FzA",2019-05-16 13:58:37 UTC
Phelippe Lôro,@TonhoDrinks Na hora do assalto ela manda um poema como defesa.,2019-05-16 13:56:44 UTC
SAJ BAHIA INFORMA,Turista é baleado após tentativa de assalto dentro de hotel em Salvador; assista https://t.co/dnN0cKkzo2,2019-05-16 13:53:36 UTC
Abner Silva,"Acredite no seu potencial, reaja a um assalto",2019-05-16 13:49:34 UTC
DDDérby Azul,"Oq eu sei de histologia:
Conteúdo:👎
Assalto q a profe sofreu a uns 2 anos:👍",2019-05-16 13:45:23 UTC
